ID,Title,URL,Image,Description,Price,Currency
product_100611,Живые раки № 0,https://raki-moskva.ru/#product_100611,https://raki-moskva.ru/public/shab2/img/products/r_live_type1.png,Масса: 20-30 грамм'\n'Кол-во: 35-45 шт/кг,1490,RUB
product_100612,Живые раки № 1,https://raki-moskva.ru/#product_100612,https://raki-moskva.ru/public/shab2/img/products/r_live_type2.png,Масса: 30-50 грамм (деликатесные)'\n'Кол-во: 22-28 шт/кг,2390,RUB
product_100613,Живые раки № 2,https://raki-moskva.ru/#product_100613,https://raki-moskva.ru/public/shab2/img/products/r_live_type3.png,Масса: 50-70 грамм'\n'Кол-во: 14-18 шт/кг,2990,RUB
product_100614,Живые раки № 3,https://raki-moskva.ru/#product_100614,https://raki-moskva.ru/public/shab2/img/products/r_live_type4.png,Масса: 70-90 грамм'\n'Кол-во: 11-14 шт/кг,3790,RUB
product_100615,Живые раки № 4,https://raki-moskva.ru/#product_100615,https://raki-moskva.ru/public/shab2/img/products/r_live_type5.png,Масса: 90-130 грамм'\n'Кол-во: 8-11 шт/кг,4790,RUB
product_100616,Живые раки № 5,https://raki-moskva.ru/#product_100616,https://raki-moskva.ru/public/shab2/img/products/r_live_type6.png,Масса: от 130 грамм (гигантские)'\n'Кол-во: до 8 шт/кг,5790,RUB
product_100618,Свежесваренные раки № 0,https://raki-moskva.ru/#product_100618,https://raki-moskva.ru/public/shab2/img/products/r_var_type1.png,Масса: 15-30 грамм'\n'Кол-во: 28-50 шт/кг,1990,RUB
product_100619,Свежесваренные раки № 1,https://raki-moskva.ru/#product_100619,https://raki-moskva.ru/public/shab2/img/products/r_var_type2.png,Масса: 30-50 грамм (деликатесные)'\n'Кол-во: 18-28 шт/кг,2890,RUB
product_100620,Свежесваренные раки № 2,https://raki-moskva.ru/#product_100620,https://raki-moskva.ru/public/shab2/img/products/r_var_type3.png,Масса: 50-70 грамм'\n'Кол-во: 14-18 шт/кг,3490,RUB
product_100621,Свежесваренные раки № 3,https://raki-moskva.ru/#product_100621,https://raki-moskva.ru/public/shab2/img/products/r_var_type4.png,Масса: 70-90 грамм'\n'Кол-во: 11-13 шт/кг,4290,RUB
product_100622,Свежесваренные раки № 4,https://raki-moskva.ru/#product_100622,https://raki-moskva.ru/public/shab2/img/products/r_var_type5.png,Масса: 90-130 грамм'\n'Кол-во: 8-9 шт/кг,5290,RUB
product_100623,Свежесваренные раки № 5,https://raki-moskva.ru/#product_100623,https://raki-moskva.ru/public/shab2/img/products/r_var_type6.png,Масса: от 130 грамм (гигантские)'\n'Кол-во: до 7 шт/кг,6290,RUB
product_70,Краб камчатский живой,https://raki-moskva.ru/#product_70,https://raki-moskva.ru/public/shab2/img/products/crab_live.jpg,Масса: 3-5 кг/шт.,3950,RUB
product_71,Краб камчатский варено-мороженый,https://raki-moskva.ru/#product_71,https://raki-moskva.ru/public/shab2/img/products/crab_varen.png,Масса: 3-5 кг/шт.,2950,RUB
product_100632,Конечности краба варено-мороженные,https://raki-moskva.ru/#product_100632,https://raki-moskva.ru/public/shab2/img/products/kon_crab.jpg,Масса: размер 5L очень крупные,3950,RUB